startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Reconstruction of San Sebastian,,,,,,title,,,
1813,,,,,,,,,First event,,,,,,,,,
